datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,chla_adj,poc,o2_c,cphyto,bbp,sigma
2019-11-08 07:11:18,55.9273,-34.2383,102.0,7.326,34.877,-0.00366103990915,0.07298,1.86775,0.00395589845153,1.6,0.11,0.0232672413793,0.0052027125907,10.9872549623,7.319388873,0.00040667389511,27.2805477555
2019-11-08 07:11:18,55.9273,-34.2383,104.0,7.266,34.877,-0.00366103991914,0.06586,1.89185,0.00349267849233,1.6,0.07,0.0201982758621,0.267485758792,10.9551393701,7.44191436937,0.000414078419027,27.2890896413
2019-11-08 07:11:18,55.9273,-34.2383,106.0,7.219,34.876,-0.00366103992687,0.05162,1.89185,0.00441911841073,1.7,0.08,0.0140603448276,0.264675328011,10.9251983666,7.44060147694,0.000413999077636,27.2949727482
2019-11-08 07:11:18,55.9273,-34.2383,108.0,7.176,34.877,-0.00366103993361,0.03738,1.8798,0.00395589845153,1.7,0.06,0.0079224137931,0.261915789577,10.8909053343,7.43931235886,0.000413921172988,27.3018440763
2019-11-08 07:11:18,55.9273,-34.2383,110.0,7.141,34.881,-0.00366103994101,0.0356,1.89185,0.00395589845153,1.8,0.08,0.00715517241379,-0.183935000577,10.8468588154,7.23103321097,0.000401334340224,27.309937051
2019-11-08 07:11:18,55.9273,-34.2383,112.0,7.05,34.876,-0.00366103995476,0.03204,1.89185,0.00349267849233,1.7,0.06,0.00562068965517,-0.543777238379,10.8145585936,7.0629329489,0.000391175618588,27.3187354829
2019-11-08 07:11:18,55.9273,-34.2383,114.0,7.034,34.875,-0.00366103995711,0.0356,1.9039,0.00349267849233,1.7,0.06,0.00715517241379,-0.722003286911,10.8026876971,6.9796746698,0.000386144111374,27.3202038802
2019-11-08 07:11:18,55.9273,-34.2383,116.0,7.027,34.876,-0.0036610399583,0.03204,1.9039,0.00349267849233,1.7,0.04,0.00562068965517,-0.101918635756,10.7952340123,7.26934714683,0.000403649747734,27.3219957696
2019-11-08 07:11:18,55.9273,-34.2383,118.0,7.014,34.875,-0.00366103996048,0.0356,1.928,0.00349267849233,1.7,0.05,0.00715517241379,-0.191298351245,10.7823740256,7.22759342251,0.000401126465156,27.3230438312
2019-11-08 07:11:18,55.9273,-34.2383,120.0,7.011,34.876,-0.0036610399611,0.03204,1.91595,0.00349267849233,1.7,0.07,0.00562068965517,-0.368900347814,10.7756130085,7.14462666922,0.00039611257558,27.3242795709
2019-11-08 07:11:18,55.9273,-34.2383,122.0,7.008,34.875,-0.00366103996188,0.03916,1.9039,0.00349267849233,1.7,0.08,0.00868965517241,1.49285895276,10.7600819923,8.01434732303,0.000448671982179,27.3239395323
