datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,bbp,sigma,poc,o2_c,chla_adj,cphyto
2019-10-24 07:14:31,56.4541,-33.5873,78.0,7.551,34.807,-0.00366103987198,0.16554,1.86775,0.00349267849233,1.7,0.07,0.000512371935056,27.1927462969,3.74923868354,11.1880880274,0.0631637931034,9.06841486769
2019-10-24 07:14:31,56.4541,-33.5873,80.0,7.247,34.819,-0.00366103992491,0.11214,1.8557,0.00302945853314,1.8,0.08,0.000521826973778,27.2456483599,4.08415506517,11.0964212065,0.0401465517241,9.22487101877
2019-10-24 07:14:31,56.4541,-33.5873,82.0,7.079,34.822,-0.00366103995149,0.07476,1.8798,0.00302945853314,1.7,0.09,0.000446435954113,27.2716134471,1.4136543666,11.0553131546,0.0240344827586,7.97734690926
2019-10-24 07:14:31,56.4541,-33.5873,84.0,6.988,34.822,-0.00366103996501,0.06764,1.86775,0.00395589845153,1.6,0.07,0.000446275208171,27.2842856191,1.40796042385,11.031573945,0.0209655172414,7.97468698453
2019-10-24 07:14:31,56.4541,-33.5873,86.0,6.924,34.824,-0.00366103997579,0.06052,1.8798,0.00395589845153,1.6,0.05,0.000561292175418,27.294729771,5.48209143764,11.0074110199,0.0178965517241,9.8779168424
2019-10-24 07:14:31,56.4541,-33.5873,88.0,6.881,34.826,-0.00366103998281,0.0534,1.86775,0.00302945853314,1.6,0.08,0.000426050697744,27.3022507807,0.691567815502,10.9916148564,0.0148275862069,7.64002425582
2019-10-24 07:14:31,56.4541,-33.5873,90.0,6.856,34.828,-0.00366103998628,0.04984,1.89185,0.00302945853314,1.6,0.05,0.000443521411891,27.3072891689,1.31041545199,10.986632291,0.0132931034483,7.92911886158
2019-10-24 07:14:31,56.4541,-33.5873,92.0,6.847,34.83,-0.00366103998739,0.04984,1.9039,0.00349267849233,1.7,0.07,0.00067377180586,27.3101333942,9.46634490716,10.9844186942,0.0132931034483,11.7391604153
2019-10-24 07:14:31,56.4541,-33.5873,94.0,6.856,34.832,-0.00366103998597,0.0534,1.89185,0.00349267849233,1.7,0.08,0.000473546164923,27.3105144162,2.3739522539,10.9782649629,0.0148275862069,8.42594996237
2019-10-24 07:14:31,56.4541,-33.5873,96.0,6.864,34.835,-0.00366103998508,0.04094,1.86775,0.00349267849233,1.7,0.08,0.000468546515777,27.3118197,2.19685468185,10.9664531928,0.00945689655172,8.34321885094
2019-10-24 07:14:31,56.4541,-33.5873,98.0,6.843,34.838,-0.00366103998848,0.03916,1.8798,0.00395589845153,1.6,0.07,0.00048351869927,27.3170948869,2.72719936553,10.9603806068,0.00868965517241,8.59096931197
2019-10-24 07:14:31,56.4541,-33.5873,100.0,6.829,34.839,-0.00366103999081,0.03916,1.89185,0.00395589845153,1.6,0.05,0.000435934846115,27.3198328655,1.04168411908,10.9468698963,0.00868965517241,7.80358104878
