Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,400,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,500,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,750,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,1000,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,1250,,
AT32,Subpolar,Late Autumn,2,11/14/15,2015-11-14T11:29:00Z,2015.869804,54.1,-40.167,54,6,95.27,66.61,1500,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,0,8.626844,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,5,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,10,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,15,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,25,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,50,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,64,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,75,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,100,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,150,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,200,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,300,,
AT32,Temperate,Late Autumn,3,11/16/15,2015-11-16T11:35:00Z,2015.875295,51.117,-40.1,51,11,64,33.7,386,,
