Kingdom	Phylum	Class	Order	Family	Genus
N72	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	NA
N73	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Balneatrix
N76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina
N77	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N79	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N80	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N81	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N82	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
N84	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N85	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N86	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N87	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N88	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N89	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N90	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N91	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N93	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N94	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N95	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N96	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N97	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N98	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N99	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N100	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N101	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N102	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N103	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N104	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N106	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N108	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N109	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N110	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N111	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N112	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N113	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N114	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N115	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N116	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N117	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N118	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N119	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N120	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N122	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	NA
N123	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N124	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N125	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N126	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N129	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N130	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N131	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N132	Bacteria	NA	NA	NA	NA	NA
N133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter
N135	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N136	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N137	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM182_clade	NA
N138	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N139	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N140	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N142	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N143	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N144	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N145	Bacteria	NA	NA	NA	NA	NA
N146	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N147	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N148	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N149	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N150	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N151	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N152	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N153	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N154	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N155	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	NA
N156	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N157	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter
N158	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N160	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N161	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N162	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N163	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N165	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N167	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N168	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N169	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N170	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N171	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N172	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N173	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N174	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N175	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N176	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N177	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N178	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N179	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N180	Bacteria	Chloroflexi	S085	NA	NA	NA
N183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N184	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N186	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N187	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N188	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N190	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N191	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N196	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N197	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N199	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N201	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N202	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N203	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N204	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N205	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N206	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N207	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N208	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N209	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N210	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N211	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N212	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N213	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N214	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N215	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N217	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N218	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N219	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N220	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N221	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N222	Bacteria	NA	NA	NA	NA	NA
N223	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N224	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N225	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N226	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N227	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
N228	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N229	Bacteria	NA	NA	NA	NA	NA
N230	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N231	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N232	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N233	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N234	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N235	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N237	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N239	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N240	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N241	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N242	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N244	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N245	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N246	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N248	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N249	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N250	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N251	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N252	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
N253	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N254	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	NA
N255	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N256	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N257	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N258	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N259	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N260	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N261	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N262	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N263	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N264	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade5	SAR202_Clade5	NA
N265	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N266	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N267	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N268	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N270	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N271	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N272	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N273	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	NA
N274	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N275	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N276	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N278	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N279	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N280	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N281	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N282	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N283	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N284	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N285	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N286	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N287	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N288	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas
N289	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N290	Bacteria	NA	NA	NA	NA	NA
N291	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N292	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N293	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N294	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N295	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N296	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N297	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N299	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N300	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N301	Bacteria	Proteobacteria	SPOTSOCT00m83	NA	NA	NA
N302	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N303	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
N304	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N305	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N306	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N307	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N308	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N310	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N312	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N313	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N314	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N315	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N316	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N318	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N319	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N320	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N321	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
N322	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N323	Bacteria	NA	NA	NA	NA	NA
N324	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N326	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	NA
N327	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_I	NA
N328	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N329	Bacteria	Proteobacteria	AEGEAN-245	NA	NA	NA
