	Domain	Phylum	Class	Order	Family	Genus
N10232	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N10233	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA
N10234	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N10235	Bacteria	NA	NA	NA	NA	NA
N10236	Bacteria	Actinobacteria	NA	NA	NA	NA
N10240	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
N10241	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
N10243	Bacteria	Saccharibacteria	NA	NA	NA	NA
N10244	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N10255	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N10258	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
N10259	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N10260	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
N10261	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Candidatus_Amoebophilus
N10276	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N10277	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NA
N10278	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10279	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
N10280	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N10281	Bacteria	NA	NA	NA	NA	NA
N10292	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N10293	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N10294	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	NA
N10297	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10298	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter
N10299	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N10300	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10303	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10306	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N10310	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N10311	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N10312	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	NA
N10313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Labrenzia
N10314	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10315	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter
N10316	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10332	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N10364	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Luteivirga
N10424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassobius
N10425	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N10426	Bacteria	Actinobacteria	NA	NA	NA	NA
N10427	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
N10428	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N10434	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	NA
N10435	Bacteria	NA	NA	NA	NA	NA
N10437	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktotalea
N10446	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N10451	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N10452	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N10453	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N10462	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N10466	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
N10476	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N10477	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N10487	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N10596	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N10599	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N10600	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N10601	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IIIa	NA
N10602	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	NA	NA
N10613	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N10614	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	NA
N10615	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium
N10650	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N10651	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N10652	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Fangia
N10653	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N10662	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N10663	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	BIrii41	NA
N10664	NA	NA	NA	NA	NA	NA
N10669	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ulvibacter
N10670	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N10680	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
N10681	Bacteria	NA	NA	NA	NA	NA
N10692	Bacteria	NA	NA	NA	NA	NA
N10693	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10707	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10714	Bacteria	NA	NA	NA	NA	NA
N10715	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N10716	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10717	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Simiduia
N10718	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N10719	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N10732	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula
N10735	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
N10736	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N10738	Bacteria	Proteobacteria	NA	NA	NA	NA
N10740	Bacteria	NA	NA	NA	NA	NA
N10741	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N10742	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N10743	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N10744	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N10745	Bacteria	Proteobacteria	NA	NA	NA	NA
N10746	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N10747	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
N10748	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N10752	Bacteria	Cyanobacteria	NA	NA	NA	NA
N10753	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA
N10754	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N10755	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N10756	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N10757	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10758	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Gven-D09	NA
N10759	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutimonas
N10763	Bacteria	Planctomycetes	OM190	NA	NA	NA
N10764	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N10766	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N10767	Bacteria	NA	NA	NA	NA	NA
N10768	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N10769	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
N10770	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N10772	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N10850	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N10889	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
N10890	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage
N10892	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N10893	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Aureispira
N10894	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N10896	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N10897	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N10904	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N10906	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N10910	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N10911	Bacteria	Proteobacteria	NA	NA	NA	NA
N10928	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA
N10929	Bacteria	Verrucomicrobia	Opitutae	RS-B22	NA	NA
N10932	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N10933	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella
N10934	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N10943	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA
N10954	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
N10955	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
N11060	Bacteria	Cyanobacteria	NA	NA	NA	NA
N11061	Bacteria	Chloroflexi	S085	NA	NA	NA
N11066	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11067	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Tepidiphilus
N11071	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N11072	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N11073	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella
N11074	Bacteria	NA	NA	NA	NA	NA
N11075	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N11082	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Balneatrix
N11084	NA	NA	NA	NA	NA	NA
N11090	NA	NA	NA	NA	NA	NA
N11091	Bacteria	Proteobacteria	NA	NA	NA	NA
N11093	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N11094	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N11095	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N11096	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N11097	Bacteria	PAUC34f	NA	NA	NA	NA
N11098	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia
N11099	NA	NA	NA	NA	NA	NA
N11100	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N11140	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N11141	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N11146	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N11147	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N11154	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N11155	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N11156	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
N11157	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Oleispira
N11158	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11159	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N11160	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N11161	Bacteria	Parcubacteria	NA	NA	NA	NA
N11166	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11167	Bacteria	NA	NA	NA	NA	NA
N11168	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N11169	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	NA
N11178	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
N11179	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N11180	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella
N11181	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas
N11182	Bacteria	Lentisphaerae	Oligosphaeria	NA	NA	NA
N11183	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11184	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N11196	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA
N11197	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11199	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11218	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N11219	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N11220	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N11221	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
N11222	Bacteria	NA	NA	NA	NA	NA
N11223	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N11248	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
N11251	Bacteria	NA	NA	NA	NA	NA
N11252	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11253	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11255	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella
N11256	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N11257	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N11258	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N11259	Bacteria	Proteobacteria	NA	NA	NA	NA
N11260	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	NA
N11261	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Candidatus_Amoebophilus
N11262	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera
N11264	Bacteria	NA	NA	NA	NA	NA
N11265	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N11266	Bacteria	Planctomycetes	OM190	NA	NA	NA
N11269	Bacteria	Planctomycetes	OM190	NA	NA	NA
N11270	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N11271	Bacteria	Proteobacteria	NA	NA	NA	NA
N11272	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA
N11273	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N11274	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	NA	NA
N11284	Bacteria	NA	NA	NA	NA	NA
N11285	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N11286	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N11287	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N11288	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N11295	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
N11296	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11300	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N11301	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	NA
N11302	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N11303	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N11304	Bacteria	NA	NA	NA	NA	NA
N11305	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N11306	Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmatales_Incertae_Sedis	Candidatus_Hepatoplasma
N11307	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N11308	Bacteria	NA	NA	NA	NA	NA
N11309	Bacteria	Bacteroidetes	NA	NA	NA	NA
N11310	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Enterovibrio
N11312	Bacteria	Planctomycetes	OM190	NA	NA	NA
N11313	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma
N11431	Bacteria	Proteobacteria	Gammaproteobacteria	NKB5	NA	NA
N11458	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kordia
N11459	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N11460	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N11461	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rubripirellula
N11462	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N11463	Bacteria	Proteobacteria	NA	NA	NA	NA
N11471	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N11472	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N11473	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N11479	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N11480	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Schleiferia
N11491	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N11498	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N11499	Bacteria	Proteobacteria	NA	NA	NA	NA
N11501	Bacteria	Proteobacteria	NA	NA	NA	NA
N11502	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N11511	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N11512	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
N11526	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N11527	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N11528	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	NA
N11529	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N11531	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N11532	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Cryomorpha
N11533	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N11534	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N11687	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N11688	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N11704	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA
N11705	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
N11706	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N11707	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA
N11714	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter
N11715	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N11716	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N11717	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N11724	Bacteria	NA	NA	NA	NA	NA
N11725	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N11726	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	NA	NA
N11727	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N11728	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N11729	Bacteria	Proteobacteria	Gammaproteobacteria	Order_Incertae_Sedis	Family_Incertae_Sedis	Marinicella
N11730	NA	NA	NA	NA	NA	NA
N11741	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N11742	NA	NA	NA	NA	NA	NA
N11745	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N11746	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11747	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N11748	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA
N11749	Bacteria	NA	NA	NA	NA	NA
N11750	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N11751	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N11752	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N11753	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N11754	Bacteria	NA	NA	NA	NA	NA
N11755	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N11756	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N11804	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N11805	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA
N11813	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Blfdi19	NA
N11820	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
N11821	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N11830	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11831	NA	NA	NA	NA	NA	NA
N11832	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N11833	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N11834	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
N11835	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia
N11849	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N11851	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	NA
N11852	Bacteria	NA	NA	NA	NA	NA
N11853	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
