	Domain	Phylum	Class	Order	Family	Genus
N1296	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N1299	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N1300	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1302	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1308	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N1309	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1312	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1313	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N1316	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira
N1317	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N1320	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1321	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1322	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N1329	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N1332	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N1333	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N1334	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N1339	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N1340	NA	NA	NA	NA	NA	NA
N1342	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1344	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N1346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N1347	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N1349	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1350	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1355	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA
N1356	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N1357	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1361	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1362	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N1364	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N1366	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1367	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N1368	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N1373	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N1374	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N1376	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1378	Bacteria	NA	NA	NA	NA	NA
N1379	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N1381	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1386	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1387	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1388	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1389	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1390	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1392	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N1393	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1394	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1395	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N1396	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N1397	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1399	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1400	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N1401	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1403	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	Candidatus_Puniceispirillum
N1405	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N1407	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter
N1413	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1416	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N1424	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N1425	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N1430	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N1432	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1434	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N1436	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N1437	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N1439	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N1440	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N1441	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N1442	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1444	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N1446	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N1449	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N1450	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N1451	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N1452	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
N1453	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1456	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
